time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,orient.x,orient.y,orient.z,orient.w,command_state_flag
1681856264.1351044,163,128,151,128,,,,,,,,0
1681856264.1368303,,,,,-0.2597283907005647,1.0186825494726972,1.1108866641732897,0.9896793343905127,0.03133736147161493,0.004503824532078255,-0.13975872216406812,1
1681856264.139331,164,128,151,128,,,,,,,,0
1681856264.143587,164,128,151,128,,,,,,,,0
1681856264.1478581,164,128,151,128,,,,,,,,0
1681856264.1520123,164,128,151,128,,,,,,,,0
1681856264.1565785,164,128,151,128,,,,,,,,0
1681856264.161207,164,128,151,128,,,,,,,,0
1681856264.1651943,164,128,151,128,,,,,,,,0
1681856264.1693356,164,128,151,128,,,,,,,,0
1681856264.1737885,163,128,151,128,,,,,,,,0
1681856264.1778798,163,128,151,128,,,,,,,,0
1681856264.1821356,164,128,151,128,,,,,,,,0
1681856264.1870646,164,128,151,128,,,,,,,,0
1681856264.1907918,164,128,151,128,,,,,,,,0
1681856264.1949263,163,128,150,128,,,,,,,,0
1681856264.199174,164,128,150,128,,,,,,,,0
1681856264.2033677,164,128,151,128,,,,,,,,0
1681856264.2079687,163,128,151,128,,,,,,,,0
1681856264.212138,164,128,150,128,,,,,,,,0
1681856264.216139,164,128,150,128,,,,,,,,0
1681856264.2205389,164,128,150,128,,,,,,,,0
1681856264.2256837,164,128,150,128,,,,,,,,0
1681856264.229344,164,128,151,128,,,,,,,,0
1681856264.2335272,164,128,150,128,,,,,,,,0
1681856264.2378535,163,128,150,128,,,,,,,,0
1681856264.242091,164,128,150,128,,,,,,,,0
1681856264.2466426,164,128,150,128,,,,,,,,0
1681856264.2504888,164,128,151,128,,,,,,,,0
1681856264.254869,163,128,150,128,,,,,,,,0
1681856264.2588859,163,128,151,128,,,,,,,,0
1681856264.2631319,164,128,151,128,,,,,,,,0
1681856264.2679222,164,128,151,128,,,,,,,,0
1681856264.2712567,,,,,-0.22226068825048598,0.9998373296172459,1.2373229403307238,0.9768803267281686,0.030956741778464445,-0.008163281072583966,-0.21137612975938894,1
1681856264.2718043,164,128,151,128,,,,,,,,0
1681856264.2762387,164,128,151,128,,,,,,,,0
1681856264.2804644,164,128,151,128,,,,,,,,0
1681856264.284678,164,128,151,128,,,,,,,,0
1681856264.2888129,164,128,151,128,,,,,,,,0
1681856264.2931163,164,128,151,128,,,,,,,,0
1681856264.2976816,164,128,151,128,,,,,,,,0
1681856264.3016384,164,128,151,128,,,,,,,,0
1681856264.3068328,164,128,151,128,,,,,,,,0
1681856264.310475,164,128,151,128,,,,,,,,0
1681856264.3148932,164,128,151,128,,,,,,,,0
1681856264.3190541,164,128,151,128,,,,,,,,0
1681856264.3236387,164,128,151,128,,,,,,,,0
1681856264.327779,164,128,151,128,,,,,,,,0
1681856264.3318262,164,128,151,128,,,,,,,,0
1681856264.3362646,164,128,151,128,,,,,,,,0
1681856264.3415506,164,128,150,128,,,,,,,,0
1681856264.3459992,164,128,151,128,,,,,,,,0
1681856264.3495948,164,128,151,128,,,,,,,,0
1681856264.3542852,164,128,151,128,,,,,,,,0
1681856264.3581903,164,128,150,128,,,,,,,,0
1681856264.362516,164,128,151,128,,,,,,,,0
1681856264.3637502,,,,,-0.2253704286929358,0.9891676745441534,1.2476472422568572,0.9758212324690165,0.03272591209254782,-0.0015470345849245058,-0.21610077191984636,1
1681856264.3667715,164,128,151,128,,,,,,,,0
1681856264.3714924,164,128,151,128,,,,,,,,0
1681856264.375655,164,128,150,128,,,,,,,,0
1681856264.379562,164,128,151,128,,,,,,,,0
1681856264.384015,164,128,151,128,,,,,,,,0
1681856264.388215,165,128,151,128,,,,,,,,0
1681856264.3933494,165,128,151,128,,,,,,,,0
1681856264.397391,166,128,151,128,,,,,,,,0
1681856264.400952,167,128,151,128,,,,,,,,0
1681856264.4056528,168,128,151,128,,,,,,,,0
1681856264.4099605,169,128,151,128,,,,,,,,0
1681856264.4138064,171,128,151,128,,,,,,,,0
1681856264.4179533,172,128,150,128,,,,,,,,0
1681856264.4221892,173,128,151,128,,,,,,,,0
1681856264.4267008,174,128,150,128,,,,,,,,0
1681856264.430684,175,128,150,128,,,,,,,,0
1681856264.4356363,177,128,151,128,,,,,,,,0
1681856264.4394019,178,128,150,128,,,,,,,,0
1681856264.4435835,179,128,151,128,,,,,,,,0
1681856264.4479287,181,128,151,128,,,,,,,,0
1681856264.45221,181,128,151,128,,,,,,,,0
1681856264.456922,182,128,150,128,,,,,,,,0
1681856264.4606614,182,128,151,128,,,,,,,,0
1681856264.4649518,184,128,151,128,,,,,,,,0
1681856264.4695194,184,128,151,128,,,,,,,,0
1681856264.4739494,184,128,151,128,,,,,,,,0
1681856264.478367,184,128,151,128,,,,,,,,0
1681856264.481614,185,128,151,128,,,,,,,,0
1681856264.4863017,185,128,151,128,,,,,,,,0
1681856264.486679,,,,,-0.2082215049605806,0.9801741365470991,1.2197548692173548,0.9763813647367737,0.020869830303560814,0.040724525389461315,-0.2111525368297976,1
1681856264.4906976,185,128,151,128,,,,,,,,0
1681856264.4946678,185,128,151,128,,,,,,,,0
1681856264.4990895,185,128,151,128,,,,,,,,0
1681856264.503452,186,128,151,128,,,,,,,,0
1681856264.5086157,186,128,151,128,,,,,,,,0
1681856264.5124252,186,128,151,128,,,,,,,,0
1681856264.5162413,186,128,151,128,,,,,,,,0
1681856264.5208902,186,128,151,128,,,,,,,,0
1681856264.5248098,186,128,151,128,,,,,,,,0
1681856264.528807,186,128,151,128,,,,,,,,0
1681856264.533035,186,128,151,128,,,,,,,,0
1681856264.5372705,186,128,151,128,,,,,,,,0
1681856264.54212,186,128,151,128,,,,,,,,0
1681856264.5463312,186,128,151,128,,,,,,,,0
1681856264.550327,186,128,151,128,,,,,,,,0
1681856264.5549493,186,128,151,128,,,,,,,,0
1681856264.5589373,187,128,151,128,,,,,,,,0
1681856264.5631673,187,128,151,128,,,,,,,,0
1681856264.567425,187,128,151,128,,,,,,,,0
1681856264.5714757,187,128,151,128,,,,,,,,0
1681856264.5755289,187,128,151,128,,,,,,,,0
1681856264.5797987,187,128,152,128,,,,,,,,0
1681856264.5842278,187,128,152,128,,,,,,,,0
1681856264.5881827,187,128,152,128,,,,,,,,0
1681856264.592822,187,128,153,128,,,,,,,,0
1681856264.597309,187,128,153,128,,,,,,,,0
1681856264.6015096,187,128,153,128,,,,,,,,0
1681856264.6070502,187,128,153,128,,,,,,,,0
1681856264.6094651,187,128,153,128,,,,,,,,0
1681856264.6137667,187,128,154,128,,,,,,,,0
1681856264.6189904,187,128,153,128,,,,,,,,0
1681856264.6190524,,,,,,,,,,,,2
1681856264.623052,187,128,153,128,,,,,,,,0
1681856264.6274776,187,128,153,128,,,,,,,,0
1681856264.631465,188,128,153,128,,,,,,,,0
1681856264.6361842,188,128,153,128,,,,,,,,0
1681856264.640303,189,128,153,128,,,,,,,,0
1681856264.6447039,189,128,153,128,,,,,,,,0
1681856264.6489356,190,128,153,128,,,,,,,,0
1681856264.6531398,191,128,153,128,,,,,,,,0
1681856264.6575527,192,128,153,128,,,,,,,,0
1681856264.6615586,192,128,153,128,,,,,,,,0
1681856264.6656609,193,128,153,128,,,,,,,,0
1681856264.6702461,194,128,153,128,,,,,,,,0
1681856264.6745675,194,128,153,128,,,,,,,,0
1681856264.6786392,195,128,153,128,,,,,,,,0
1681856264.683227,196,128,153,128,,,,,,,,0
1681856264.687651,196,128,153,128,,,,,,,,0
1681856264.6917083,197,128,153,128,,,,,,,,0
1681856264.6956031,198,128,153,128,,,,,,,,0
1681856264.6999648,198,128,153,128,,,,,,,,0
1681856264.7046616,200,128,153,128,,,,,,,,0
1681856264.7085056,201,128,153,128,,,,,,,,0
1681856264.7128088,201,128,153,128,,,,,,,,0
1681856264.716998,202,128,153,128,,,,,,,,0
1681856264.7215242,202,128,153,128,,,,,,,,0
1681856264.7259414,203,128,153,128,,,,,,,,0
1681856264.7296565,203,128,153,128,,,,,,,,0
1681856264.7339022,203,128,153,128,,,,,,,,0
1681856264.738642,204,128,153,128,,,,,,,,0
1681856264.7423456,204,128,153,128,,,,,,,,0
1681856264.7469115,204,128,153,128,,,,,,,,0
1681856264.7503765,204,128,153,128,,,,,,,,0
1681856264.7559168,205,128,153,128,,,,,,,,0
1681856264.7583325,,,,,,,,,,,,2
1681856264.7585797,205,128,153,128,,,,,,,,0
1681856264.7637372,205,128,153,128,,,,,,,,0
1681856264.7681034,205,128,153,128,,,,,,,,0
1681856264.7716584,205,128,153,128,,,,,,,,0
1681856264.7757323,205,128,153,128,,,,,,,,0
1681856264.7796054,206,128,154,128,,,,,,,,0
1681856264.7848275,206,128,154,128,,,,,,,,0
1681856264.788304,206,128,153,128,,,,,,,,0
1681856264.7920854,206,128,153,128,,,,,,,,0
1681856264.7962582,206,128,154,128,,,,,,,,0
1681856264.8006105,206,128,154,128,,,,,,,,0
1681856264.8051212,206,128,154,128,,,,,,,,0
1681856264.8095207,206,128,153,128,,,,,,,,0
1681856264.8130867,207,128,153,128,,,,,,,,0
1681856264.8172932,207,128,153,128,,,,,,,,0
1681856264.821643,207,128,154,128,,,,,,,,0
1681856264.8261292,207,128,154,128,,,,,,,,0
1681856264.8299594,207,128,153,128,,,,,,,,0
1681856264.8340034,207,128,154,128,,,,,,,,0
1681856264.8382366,207,128,153,128,,,,,,,,0
1681856264.8428214,207,128,154,128,,,,,,,,0
1681856264.846644,207,128,153,128,,,,,,,,0
1681856264.85089,207,128,153,128,,,,,,,,0
1681856264.8551555,207,128,153,128,,,,,,,,0
1681856264.859054,207,128,154,128,,,,,,,,0
1681856264.8632135,207,128,154,128,,,,,,,,0
1681856264.867363,207,128,154,128,,,,,,,,0
1681856264.871884,207,128,154,128,,,,,,,,0
1681856264.8762164,207,128,154,128,,,,,,,,0
1681856264.880677,207,128,154,128,,,,,,,,0
1681856264.8850164,207,128,154,128,,,,,,,,0
1681856264.8913746,207,128,154,128,,,,,,,,0
1681856264.8929865,207,128,155,128,,,,,,,,0
1681856264.8995795,207,128,155,128,,,,,,,,0
1681856264.9011934,207,128,155,128,,,,,,,,0
1681856264.9093597,207,128,157,128,,,,,,,,0
1681856264.9094596,207,128,157,128,,,,,,,,0
1681856264.9103541,,,,,,,,,,,,2
1681856264.9139078,207,128,157,128,,,,,,,,0
1681856264.9182088,207,128,158,128,,,,,,,,0
1681856264.9233117,207,128,158,128,,,,,,,,0
1681856264.9268713,207,128,158,128,,,,,,,,0
1681856264.9310899,207,128,158,128,,,,,,,,0
1681856264.9362211,207,128,159,128,,,,,,,,0
1681856264.9404447,207,128,159,128,,,,,,,,0
1681856264.9439433,207,128,159,128,,,,,,,,0
1681856264.948431,207,128,159,128,,,,,,,,0
1681856264.9526427,207,128,160,128,,,,,,,,0
1681856264.957042,207,128,160,128,,,,,,,,0
1681856264.9609575,207,128,160,128,,,,,,,,0
1681856264.9652915,207,128,160,128,,,,,,,,0
1681856264.9696288,207,128,160,128,,,,,,,,0
1681856264.9744205,207,128,160,128,,,,,,,,0
1681856264.9781084,207,128,160,128,,,,,,,,0
1681856264.9823785,208,128,160,128,,,,,,,,0
1681856264.9868503,208,128,161,128,,,,,,,,0
1681856264.9911213,208,128,161,128,,,,,,,,0
1681856264.9953601,208,128,161,128,,,,,,,,0
1681856264.9996903,208,128,161,128,,,,,,,,0
1681856265.0041685,208,128,161,128,,,,,,,,0
1681856265.008119,208,128,161,128,,,,,,,,0
1681856265.0119436,,,,,,,,,,,,2
1681856265.012349,208,128,161,128,,,,,,,,0
1681856265.0171175,209,128,161,128,,,,,,,,0
1681856265.0214016,209,128,161,128,,,,,,,,0
1681856265.0255332,209,128,161,128,,,,,,,,0
1681856265.0299575,209,128,161,128,,,,,,,,0
1681856265.0344994,209,128,161,128,,,,,,,,0
1681856265.0390716,210,128,161,128,,,,,,,,0
1681856265.0431159,210,128,161,128,,,,,,,,0
1681856265.047186,210,128,161,128,,,,,,,,0
1681856265.0515568,210,128,161,128,,,,,,,,0
1681856265.0571136,211,128,161,128,,,,,,,,0
1681856265.0601177,211,128,161,128,,,,,,,,0
1681856265.0658138,211,128,161,128,,,,,,,,0
1681856265.069042,212,128,161,128,,,,,,,,0
1681856265.0734663,213,128,161,128,,,,,,,,0
1681856265.077478,215,128,161,128,,,,,,,,0
1681856265.0815775,216,128,161,128,,,,,,,,0
