time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,orient.x,orient.y,orient.z,orient.w,command_state_flag
1681856766.169644,0,128,164,127,,,,,,,,0
1681856766.1697814,0,128,164,127,,,,,,,,0
1681856766.1697986,0,128,164,127,,,,,,,,0
1681856766.1698215,0,128,164,127,,,,,,,,0
1681856766.1702747,0,128,164,127,,,,,,,,0
1681856766.1703765,0,128,164,127,,,,,,,,0
1681856766.17161,0,128,164,127,,,,,,,,0
1681856766.1760252,0,128,164,127,,,,,,,,0
1681856766.1831503,0,128,164,127,,,,,,,,0
1681856766.1840281,0,128,164,127,,,,,,,,0
1681856766.188466,0,128,164,127,,,,,,,,0
1681856766.192171,0,128,164,127,,,,,,,,0
1681856766.1962533,0,128,164,127,,,,,,,,0
1681856766.2009497,0,128,164,127,,,,,,,,0
1681856766.205023,0,128,164,127,,,,,,,,0
1681856766.2094097,0,128,164,127,,,,,,,,0
1681856766.2135956,0,128,164,127,,,,,,,,0
1681856766.2176409,0,128,164,127,,,,,,,,0
1681856766.2222404,0,128,164,127,,,,,,,,0
1681856766.2261114,0,128,164,127,,,,,,,,0
1681856766.2306972,0,128,164,127,,,,,,,,0
1681856766.2347891,0,128,164,127,,,,,,,,0
1681856766.2388437,0,128,164,127,,,,,,,,0
1681856766.2430406,0,128,164,127,,,,,,,,0
1681856766.2476418,0,128,164,127,,,,,,,,0
1681856766.251669,0,128,164,127,,,,,,,,0
1681856766.2560492,0,128,164,127,,,,,,,,0
1681856766.2601516,0,128,164,127,,,,,,,,0
1681856766.2652218,0,128,164,127,,,,,,,,0
1681856766.2727816,0,128,164,127,,,,,,,,0
1681856766.2734594,0,128,164,127,,,,,,,,0
1681856766.2777224,0,128,164,127,,,,,,,,0
1681856766.2821877,0,128,164,127,,,,,,,,0
1681856766.2860847,0,128,164,127,,,,,,,,0
1681856766.2905018,0,128,164,127,,,,,,,,0
1681856766.2947032,0,128,164,127,,,,,,,,0
1681856766.3031547,0,128,164,127,,,,,,,,0
1681856766.303612,0,128,164,127,,,,,,,,0
1681856766.3076496,0,128,164,127,,,,,,,,0
1681856766.3124719,0,128,164,127,,,,,,,,0
1681856766.316667,0,128,164,127,,,,,,,,0
1681856766.320537,0,128,164,127,,,,,,,,0
1681856766.3249385,0,128,164,127,,,,,,,,0
1681856766.3296032,0,128,164,127,,,,,,,,0
1681856766.3339412,0,128,164,127,,,,,,,,0
1681856766.3374856,0,128,164,127,,,,,,,,0
1681856766.3444033,0,128,164,127,,,,,,,,0
1681856766.346289,0,128,164,127,,,,,,,,0
1681856766.3512142,0,128,164,127,,,,,,,,0
1681856766.3550038,0,128,164,127,,,,,,,,0
1681856766.3593104,0,128,164,127,,,,,,,,0
1681856766.3637006,0,128,164,127,,,,,,,,0
1681856766.3680456,0,128,164,127,,,,,,,,0
1681856766.3719645,0,128,164,127,,,,,,,,0
1681856766.3765361,0,128,164,127,,,,,,,,0
1681856766.3846142,0,128,164,127,,,,,,,,0
1681856766.385406,0,128,164,127,,,,,,,,0
1681856766.3894486,0,128,164,127,,,,,,,,0
1681856766.3937435,0,128,164,127,,,,,,,,0
1681856766.3982193,0,128,164,127,,,,,,,,0
1681856766.402224,0,128,164,127,,,,,,,,0
1681856766.4065452,0,128,164,127,,,,,,,,0
1681856766.4110851,0,128,164,127,,,,,,,,0
1681856766.4159272,0,128,164,127,,,,,,,,0
1681856766.4194064,0,128,164,127,,,,,,,,0
1681856766.4271402,0,128,164,127,,,,,,,,0
1681856766.427658,0,128,164,127,,,,,,,,0
1681856766.4328928,0,128,164,127,,,,,,,,0
1681856766.4366348,0,128,164,127,,,,,,,,0
1681856766.440442,0,128,164,127,,,,,,,,0
1681856766.4445689,0,128,164,127,,,,,,,,0
1681856766.4494865,0,128,164,127,,,,,,,,0
1681856766.4532318,0,128,164,127,,,,,,,,0
1681856766.4577463,0,128,164,127,,,,,,,,0
1681856766.465107,0,128,164,127,,,,,,,,0
1681856766.466215,0,128,164,127,,,,,,,,0
1681856766.470075,0,128,164,127,,,,,,,,0
1681856766.4742994,0,128,164,127,,,,,,,,0
1681856766.4786134,0,128,164,127,,,,,,,,0
1681856766.4830468,0,128,164,127,,,,,,,,0
1681856766.4870684,0,128,164,127,,,,,,,,0
1681856766.4912395,0,128,164,127,,,,,,,,0
1681856766.495629,0,128,164,127,,,,,,,,0
1681856766.5030444,0,128,164,127,,,,,,,,0
1681856766.503999,0,128,164,127,,,,,,,,0
1681856766.508438,0,128,164,127,,,,,,,,0
1681856766.5126305,0,128,164,127,,,,,,,,0
1681856766.5169184,0,128,164,127,,,,,,,,0
1681856766.5212426,0,128,164,127,,,,,,,,0
1681856766.5255373,0,128,164,127,,,,,,,,0
1681856766.5298815,0,128,164,127,,,,,,,,0
1681856766.5340343,0,128,164,127,,,,,,,,0
1681856766.5390887,0,128,164,127,,,,,,,,0
1681856766.5448153,0,128,164,127,,,,,,,,0
1681856766.5469568,0,128,164,127,,,,,,,,0
1681856766.5512078,0,128,164,127,,,,,,,,0
1681856766.555497,0,128,164,127,,,,,,,,0
1681856766.5597107,0,128,164,127,,,,,,,,0
1681856766.564244,0,128,164,127,,,,,,,,0
1681856766.56846,0,128,164,127,,,,,,,,0
1681856766.5726702,0,128,164,127,,,,,,,,0
1681856766.5768936,0,128,164,127,,,,,,,,0
1681856766.5813038,0,128,164,127,,,,,,,,0
1681856766.58562,0,128,164,127,,,,,,,,0
1681856766.5919044,0,128,164,127,,,,,,,,0
1681856766.5941377,0,128,164,127,,,,,,,,0
1681856766.5986845,0,128,164,127,,,,,,,,0
1681856766.6028082,0,128,164,127,,,,,,,,0
